"Rank","name","Points","Games","Avg"
"1","Pittsburgh Steelers","144.0","15","9.6"
"2","Miami Dolphins","140.0","15","9.3"
"3","Indianapolis Colts","137.0","15","9.1"
"4","Los Angeles Rams","131.0","15","8.7"
"5","Baltimore Ravens","130.0","15","8.7"
"6","Washington Football Team","117.0","15","7.8"
"7","Tampa Bay Buccaneers","112.0","15","7.5"
"8","Kansas City Chiefs","107.0","15","7.1"
"8","New Orleans Saints","107.0","15","7.1"
"10","Seattle Seahawks","98.0","15","6.5"
"10","New England Patriots","98.0","15","6.5"
"10","Arizona Cardinals","98.0","15","6.5"
"10","Carolina Panthers","98.0","15","6.5"
"14","Buffalo Bills","97.0","15","6.5"
"15","New York Giants","94.0","15","6.3"
"15","Cleveland Browns","94.0","15","6.3"
"17","Philadelphia Eagles","93.0","15","6.2"
"18","Chicago Bears","91.0","15","6.1"
"19","Green Bay Packers","88.0","15","5.9"
"20","San Francisco 49ers","86.0","15","5.7"
"21","Atlanta Falcons","73.0","15","4.9"
"22","Dallas Cowboys","70.0","15","4.7"
"23","Los Angeles Chargers","68.0","15","4.5"
"24","New York Jets","65.0","15","4.3"
"25","Tennessee Titans","64.0","15","4.3"
"26","Denver Broncos","63.0","15","4.2"
"27","Minnesota Vikings","59.0","15","3.9"
"28","Jacksonville Jaguars","57.0","15","3.8"
"29","Cincinnati Bengals","47.0","15","3.1"
"30","Houston Texans","41.0","15","2.7"
"31","Las Vegas Raiders","38.0","15","2.5"
"32","Detroit Lions","30.0","15","2.0"